更新时间: 2026-05-01 00:52:07（北京时间）

更新时间,#genre#
2026-05-01 00:52:07,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

CHC影迷电影,http://123.60.75.150:540/rtp/233.18.204.175:5140$上海市电信_result_ip
凤凰卫视中文台,http://223.10.214.111:6000/rtp/239.1.1.126:8126$山西电信
凤凰卫视资讯台,http://223.10.214.111:6000/rtp/239.1.1.127:8127$山西电信
金鹰纪实,http://123.60.75.150:540/rtp/239.45.1.45:5140$上海市电信_result_ip
金鹰纪实,http://123.60.75.150:540/rtp/233.18.204.104:5140$上海市电信_result_ip
金鹰纪实,http://223.10.214.111:6000/rtp/239.1.1.63:8063$山西电信
纪实科教,http://123.60.75.150:540/rtp/239.45.1.14:5140$上海市电信_result_ip
五星体育,http://123.60.75.150:540/rtp/239.45.3.210:5140$上海市电信_result_ip
五星体育,http://123.60.75.150:540/rtp/233.18.204.58:5140$上海市电信_result_ip
快乐垂钓,http://123.60.75.150:540/rtp/239.45.3.12:5140$上海市电信_result_ip
快乐垂钓,http://123.60.75.150:540/rtp/233.18.204.42:5140$上海市电信_result_ip
快乐垂钓,http://223.10.214.111:6000/rtp/239.1.1.86:8086$山西电信
茶频道,http://123.60.75.150:540/rtp/239.45.3.18:5140$上海市电信_result_ip
茶频道,http://123.60.75.150:540/rtp/233.18.204.43:5140$上海市电信_result_ip
茶频道,http://223.10.214.111:6000/rtp/239.1.1.77:8077$山西电信
乐游,http://123.60.75.150:540/rtp/239.45.3.135:5140$上海市电信_result_ip
乐游,http://123.60.75.150:540/rtp/233.18.204.47:5140$上海市电信_result_ip
乐游,http://223.10.214.111:6000/rtp/239.1.1.84:8084$山西电信
生活时尚,http://123.60.75.150:540/rtp/239.45.3.132:5140$上海市电信_result_ip
生活时尚,http://123.60.75.150:540/rtp/233.18.204.45:5140$上海市电信_result_ip
生活时尚,http://223.10.214.111:6000/rtp/239.1.1.76:8076$山西电信
都市剧场,http://123.60.75.150:540/rtp/239.45.3.136:5140$上海市电信_result_ip
都市剧场,http://123.60.75.150:540/rtp/233.18.204.48:5140$上海市电信_result_ip
都市剧场,http://223.10.214.111:6000/rtp/239.1.1.81:8081$山西电信
欢笑剧场,http://123.60.75.150:540/rtp/239.45.3.196:5140$上海市电信_result_ip
欢笑剧场,http://123.60.75.150:540/rtp/233.18.204.50:5140$上海市电信_result_ip
欢笑剧场,http://123.60.75.150:540/rtp/239.45.1.4:5140$上海市电信_result_ip
欢笑剧场,http://123.60.75.150:540/rtp/233.18.204.115:5140$上海市电信_result_ip
欢笑剧场,http://123.60.75.150:540/rtp/233.18.204.205:5140$上海市电信_result_ip
游戏风云,http://123.60.75.150:540/rtp/239.45.3.131:5140$上海市电信_result_ip
游戏风云,http://123.60.75.150:540/rtp/233.18.204.44:5140$上海市电信_result_ip
游戏风云,http://223.10.214.111:6000/rtp/239.1.1.83:8083$山西电信
金色学堂,http://123.60.75.150:540/rtp/239.45.0.9:5140$上海市电信_result_ip
金色学堂,http://123.60.75.150:540/rtp/233.18.204.66:5140$上海市电信_result_ip
金色学堂,http://223.10.214.111:6000/rtp/239.1.1.82:8082$山西电信
动漫秀场,http://123.60.75.150:540/rtp/239.45.3.134:5140$上海市电信_result_ip
动漫秀场,http://123.60.75.150:540/rtp/233.18.204.46:5140$上海市电信_result_ip
动漫秀场,http://223.10.214.111:6000/rtp/239.1.1.80:8080$山西电信
卡酷少儿,http://123.60.75.150:540/rtp/239.45.0.8:5140$上海市电信_result_ip
卡酷少儿,http://123.60.75.150:540/rtp/233.18.204.109:5140$上海市电信_result_ip
金鹰卡通,http://123.60.75.150:540/rtp/239.45.3.233:5140$上海市电信_result_ip
金鹰卡通,http://123.60.75.150:540/rtp/239.45.0.38:5140$上海市电信_result_ip
金鹰卡通,http://123.60.75.150:540/rtp/233.18.204.113:5140$上海市电信_result_ip
哈哈炫动,http://123.60.75.150:540/rtp/239.45.1.55:5140$上海市电信_result_ip
哈哈炫动,http://123.60.75.150:540/rtp/233.18.204.54:5140$上海市电信_result_ip
中国天气,http://123.60.75.150:540/rtp/239.45.3.141:5140$上海市电信_result_ip

安徽,#genre#

湖北,#genre#

